GENER01  1.00e+25  1.00e-06                                0.00  
VERTICES
  l
 ab
 aa
  k
  l0 4                    
  m
 ac
 ab
  l
  m0 4                    
  n
 ad
 ac
  m
  n0 4                    
  o
 ae
 ad
  n
  o0 4                    
  p
 af
 ae
  o
  p0 4                    
  r
 ah
 ag
  q
  q0 4                    
  s
 ai
 ah
  r
  r0 4                    
  t
 aj
 ai
  s
  s0 4                    
  u
 ak
 aj
  t
  t0 4                    
  v
 al
 ak
  u
  u0 4                    
  w
 am
 al
  v
  v0 4                    
  x
 an
 am
  w
  w0 4                    
  y
 ao
 an
  x
  x0 4                    
  z
 ap
 ao
  y
  y0 4                    
 aa
 aq
 ap
  z
  z0 4                    
 ab
 ar
 aq
 aa
 aa0 4                    
 ac
 as
 ar
 ab
 ab0 4                    
 ad
 at
 as
 ac
 ac0 4                    
 ae
 au
 at
 ad
 ad0 4                    
 af
 av
 au
 ae
 ae0 4                    
 ah
 ax
 aw
 ag
 af0 4                    
 ai
 ay
 ax
 ah
 ag0 4                    
 aj
 az
 ay
 ai
 ah0 4                    
 ak
 ba
 az
 aj
 ai0 4                    
 al
 bb
 ba
 ak
 aj0 4                    
 am
 bc
 bb
 al
 ak0 4                    
 an
 bd
 bc
 am
 al0 4                    
 ao
 be
 bd
 an
 am0 4                    
 ap
 bf
 be
 ao
 an0 4                    
 aq
 bg
 bf
 ap
 ao0 4                    
 ar
 bh
 bg
 aq
 ap0 4                    
 as
 bi
 bh
 ar
 aq0 4                    
 at
 bj
 bi
 as
 ar0 4                    
 au
 bk
 bj
 at
 as0 4                    
 av
 bl
 bk
 au
 at0 4                    
 ax
 bn
 bm
 aw
 au0 4                    
 ay
 bo
 bn
 ax
 av0 4                    
 az
 bp
 bo
 ay
 aw0 4                    
 ba
 bq
 bp
 az
 be0 4                    
 bi
 by
 bx
 bh
 bf0 4                    
 bj
 bz
 by
 bi
 bg0 4                    
 bk
 ca
 bz
 bj
 bh0 4                    
 bl
 cb
 ca
 bk
 bi0 4                    
 bn
 cd
 cc
 bm
 bj0 4                    
 bo
 ce
 cd
 bn
 bk0 4                    
 bp
 cf
 ce
 bo
 bu0 4                    
 bz
 cp
 co
 by
 bv0 4                    
 ca
 cq
 cp
 bz
 bw0 4                    
 cb
 cr
 cq
 ca
 bx0 4                    
 cd
 ct
 cs
 cc
 by0 4                    
 ce
 cu
 ct
 cd
 bz0 4                    
 cf
 cv
 cu
 ce
 cj0 4                    
 cp
 df
 de
 co
 ck0 4                    
 cq
 dg
 df
 cp
 cl0 4                    
 cr
 dh
 dg
 cq
 cm0 4                    
 ct
 dj
 di
 cs
 cn0 4                    
 cu
 dk
 dj
 ct
 co0 4                    
 cv
 dl
 dk
 cu
 cy0 4                    
 df
 dv
 du
 de
 cz0 4                    
 dg
 dw
 dv
 df
 da0 4                    
 dh
 dx
 dw
 dg
 db0 4                    
 dj
 dz
 dy
 di
 dc0 4                    
 dk
 ea
 dz
 dj
 dd0 4                    
 dl
 eb
 ea
 dk
 dn0 4                    
 dv
 el
 ek
 du
 do0 4                    
 dw
 em
 el
 dv
 dp0 4                    
 dx
 en
 em
 dw
 dq0 4                    
 dz
 ep
 eo
 dy
 dr0 4                    
 ea
 eq
 ep
 dz
 ds0 4                    
 eb
 er
 eq
 ea
 ec0 4                    
 el
 fb
 fa
 ek
 ed0 4                    
 em
 fc
 fb
 el
 ee0 4                    
 en
 fd
 fc
 em
 ef0 4                    
 ep
 ff
 fe
 eo
 eg0 4                    
 eq
 fg
 ff
 ep
 eh0 4                    
 er
 fh
 fg
 eq
 er0 4                    
 fb
 fr
 fq
 fa
 es0 4                    
 fc
 fs
 fr
 fb
 et0 4                    
 fd
 ft
 fs
 fc
 eu0 4                    
 ff
